order_id,datetime,region_id,currency_code,product_id,unit_price,quantity,is_online,customer_id,payment_method,subtotal,tax_amount,total,discount_applied,discount_used,_kafka_key,_kafka_partition,_kafka_offset
30d8f3f2-e499-4a31-9a28-cb14259cf4ba,2026-05-05T11:08:00Z,US-MO,USD,PY-INTRO-001,29.99,1,true,CUST-1710,credit_card,29.99,2.4,32.39,Yes,SPRING25,US-MO,0,0
428171bf-e203-41b8-a1b0-339f9a76359f,2026-05-05T11:39:00Z,US-TX,USD,PY-STREAM-005,59.99,1,false,CUST-8538,gift_card,59.99,4.95,64.94,Yes,SPRING25,US-TX,0,1
b0dbe64c-d31f-4596-9ed8-c71da9c4ebc2,2026-05-05T11:47:00Z,US-CA,USD,PY-STREAM-005,59.99,5,true,CUST-5846,credit_card,299.95,28.5,328.45,Yes,SPRING25,US-CA,0,2
17b4eac7-1b8a-4695-8111-72c1d25c38f8,2026-05-05T11:48:00Z,US-CA,USD,PY-SQL-004,44.99,1,true,CUST-6731,credit_card,44.99,4.27,49.26,Yes,SPRING25,US-CA,0,3
5fbd05e9-b2da-4a03-9bc8-86048207abaf,2026-05-05T11:49:00Z,US-TX,USD,PY-NLP-006,54.99,1,true,CUST-4289,apple_pay,54.99,4.54,59.53,Yes,SPRING25,US-TX,0,4
9650209c-dffb-44ed-b9ac-8f9ad3958d48,2026-05-05T11:51:00Z,US-TX,USD,PY-SQL-004,44.99,1,true,CUST-3712,credit_card,44.99,3.71,48.7,Yes,SPRING25,US-TX,0,5
294cd274-7557-44e8-9b0b-a5b7aa906985,2026-05-05T11:54:00Z,US-TX,USD,PY-DATA-002,49.99,1,true,CUST-1803,credit_card,49.99,4.12,54.11,Yes,SPRING25,US-TX,0,6
6bec3e65-27e6-4374-81c2-f70c2a8322e4,2026-05-05T11:58:00Z,US-TX,USD,PY-STREAM-005,59.99,3,true,CUST-2557,credit_card,179.97,14.85,194.82,Yes,SPRING25,US-TX,0,7
456700b3-71ae-49f3-b40e-e197064c021a,2026-05-05T12:02:00Z,US-CA,USD,PY-INTRO-001,29.99,2,true,CUST-3352,apple_pay,59.98,5.7,65.68,Yes,SPRING25,US-CA,0,8
3cfeff27-d69e-4e46-8b75-c16a3b1d3d24,2026-05-05T12:03:00Z,CA-ON,CAD,PY-VIZ-003,39.99,1,true,CUST-6374,paypal,39.99,5.2,45.19,Yes,SPRING25,CA-ON,0,9
6e001c71-e65f-437a-9be4-b210ec5c48aa,2026-05-05T12:07:00Z,CA-QC,CAD,PY-STREAM-005,59.99,1,true,CUST-2886,gift_card,59.99,8.98,68.97,Yes,SPRING25,CA-QC,0,10
7f42d7a3-443e-494b-97f1-af4d83826bd8,2026-05-05T12:28:00Z,CA-ON,CAD,PY-STREAM-005,59.99,1,false,CUST-6295,paypal,59.99,7.8,67.79,Yes,SPRING25,CA-ON,0,11
b4e2aef3-7637-44c1-9713-825a4f150cb5,2026-05-05T12:53:00Z,US-TX,USD,PY-STREAM-005,59.99,1,true,CUST-2592,apple_pay,59.99,4.95,64.94,Yes,SPRING25,US-TX,0,12
af8591ac-9bf1-4f9f-9c7f-3e354c7ddcf5,2026-05-05T13:00:00Z,US-MO,USD,PY-NLP-006,54.99,2,true,CUST-2622,paypal,109.98,8.8,118.78,Yes,SPRING25,US-MO,0,13
94a53572-2263-48fd-822c-fa6d46c4b037,2026-05-05T13:04:00Z,CA-ON,CAD,PY-NLP-006,54.99,1,true,CUST-1046,credit_card,54.99,7.15,62.14,Yes,SPRING25,CA-ON,0,14
5b147175-d760-4755-ab93-f0b5ee4aaa4a,2026-05-05T13:08:00Z,US-CA,USD,PY-INTRO-001,29.99,2,true,CUST-9410,credit_card,59.98,5.7,65.68,Yes,SPRING25,US-CA,0,15
e7cdb664-4dd2-4f2a-883c-eb2ef5e8d16d,2026-05-05T13:21:00Z,US-MO,USD,PY-STREAM-005,59.99,1,true,CUST-6304,credit_card,59.99,4.8,64.79,Yes,SPRING25,US-MO,0,16
0d340684-70aa-4e55-a0ff-7379bf6e386c,2026-05-05T13:37:00Z,US-CA,USD,PY-INTRO-001,29.99,1,true,CUST-9149,apple_pay,29.99,2.85,32.84,Yes,SPRING25,US-CA,0,17
39f5e2c6-75cb-4db4-82cf-e56467f1464b,2026-05-05T13:38:00Z,CA-ON,CAD,PY-NLP-006,54.99,1,true,CUST-9624,paypal,54.99,7.15,62.14,Yes,SPRING25,CA-ON,0,18
dee021c8-fafd-4dfb-9065-c17c4b105baf,2026-05-05T13:40:00Z,US-TX,USD,PY-VIZ-003,39.99,1,true,CUST-3131,credit_card,39.99,3.3,43.29,Yes,SPRING25,US-TX,0,19
3520eb78-df1e-4600-adfc-bc0364690ddf,2026-05-05T13:41:00Z,US-MO,USD,PY-INTRO-001,29.99,1,true,CUST-7041,credit_card,29.99,2.4,32.39,Yes,SPRING25,US-MO,0,20
1325fde8-2696-4989-a892-ad064ed75c89,2026-05-05T13:44:00Z,US-MO,USD,PY-STREAM-005,59.99,1,true,CUST-2624,credit_card,59.99,4.8,64.79,Yes,SPRING25,US-MO,0,21
2133738d-67aa-4d12-a9dc-df2423b6da35,2026-05-05T13:54:00Z,US-CA,USD,PY-INTRO-001,29.99,2,true,CUST-5458,credit_card,59.98,5.7,65.68,Yes,SPRING25,US-CA,0,22
7faaee79-1597-4622-a28a-3a91ab2576fd,2026-05-05T13:59:00Z,CA-QC,CAD,PY-INTRO-001,29.99,1,true,CUST-8432,credit_card,29.99,4.49,34.48,Yes,SPRING25,CA-QC,0,23
f9f85bff-b476-46fa-93b6-d199f2a9aaf7,2026-05-05T14:00:00Z,US-TX,USD,PY-INTRO-001,29.99,2,true,CUST-8030,paypal,59.98,4.95,64.93,Yes,SPRING25,US-TX,0,24
2ed50446-8962-41da-ab13-951420dafdc4,2026-05-05T14:05:00Z,CA-QC,CAD,PY-INTRO-001,29.99,1,true,CUST-2251,paypal,29.99,4.49,34.48,Yes,SPRING25,CA-QC,0,25
64f3afc3-e00d-4520-892b-b58ed136542d,2026-05-05T14:11:00Z,US-CA,USD,PY-DATA-002,49.99,3,true,CUST-3273,credit_card,149.97,14.25,164.22,Yes,SPRING25,US-CA,0,26
6efed168-724d-49c9-82fd-93576de102f8,2026-05-05T14:40:00Z,US-CA,USD,PY-INTRO-001,29.99,2,true,CUST-8532,credit_card,59.98,5.7,65.68,Yes,SPRING25,US-CA,0,27
e8d706c1-61ba-4657-9572-72b74249aacd,2026-05-05T14:44:00Z,US-TX,USD,PY-SQL-004,44.99,2,true,CUST-6401,credit_card,89.98,7.42,97.4,Yes,SPRING25,US-TX,0,28
a8f1de2b-badd-43b6-b268-3e7b0e2e00fc,2026-05-05T14:44:00Z,US-CA,USD,PY-INTRO-001,29.99,1,false,CUST-8684,credit_card,29.99,2.85,32.84,Yes,SPRING25,US-CA,0,29
ab7f6995-24e5-432d-9309-cd05b5e4e84a,2026-05-05T14:46:00Z,US-CA,USD,PY-STREAM-005,59.99,2,true,CUST-9633,credit_card,119.98,11.4,131.38,Yes,SPRING25,US-CA,0,30
1f6b2a97-3848-4f14-b0ac-f60fda3f3349,2026-05-05T15:00:00Z,US-MO,USD,PY-VIZ-003,39.99,1,true,CUST-5934,apple_pay,39.99,3.2,43.19,Yes,SPRING25,US-MO,0,31
98e6ac14-8098-4e63-a6e7-1023744976bb,2026-05-05T15:10:00Z,MX-CMX,MXN,PY-STREAM-005,59.99,1,true,CUST-9920,apple_pay,59.99,9.6,69.59,Yes,SPRING25,MX-CMX,0,32
3d70c575-df45-44ec-ab79-158fc0246ae3,2026-05-05T15:14:00Z,CA-QC,CAD,PY-STREAM-005,59.99,2,true,CUST-3240,paypal,119.98,17.97,137.95,Yes,SPRING25,CA-QC,0,33
29ce08c7-6a8d-45d6-8996-1b57bb045ed3,2026-05-05T15:21:00Z,US-TX,USD,PY-STREAM-005,59.99,1,true,CUST-4232,paypal,59.99,4.95,64.94,Yes,SPRING25,US-TX,0,34
5ceb03e1-d5e3-4e63-85ea-22b53b489edf,2026-05-05T15:26:00Z,US-TX,USD,PY-DATA-002,49.99,4,true,CUST-2323,credit_card,199.96,16.5,216.46,Yes,SPRING25,US-TX,0,35
